ID,Badge Title,Issuer,Achievement Type,Assessment Type,Assessment Evaluator,Evidence Type,Expert Eval Required,Canvas Code,Seq #,Pathway Position,Self-Declared Level,Bloom Level,Audience Signal,Stage 1 — Category,Stage 2 — Type,Stage 3 — Level,Confidence,Reviewer Status,Matched Badge Title,Match Score,Primary Skill Category,Learning Outcome Summary,Delivery Mode
B013,Make 101: Introduction to Makerspace,Makerspace,Achievement,Final assessment 90%,Expert-scored,Scored assessment,Yes,,,Parallel 1 of 3,Foundation,Remember/Understand,Students/Faculty,Academic,Skill,Awareness,High,Pending,Make 101: Introduction to the Makerspace,1.0,Academic Skills,Build hands-on prototyping and makerspace skills,Workshop
B014,Make 102: Introduction to CO2 Laser Cutting,Makerspace,Achievement,Final assessment 90%,Expert-scored,Scored assessment,Yes,,,Parallel 1 of 3,Foundation,Apply/Understand,Students/Faculty,Academic,Skill,Application,High,Pending,Make 102: Introduction to CO2 Laser Cutting,1.0,Academic Skills,Apply laser cutting techniques safely and effectively,Workshop
B015,Make 103: Introduction to 3D Printing,Makerspace,Achievement,Final assessment 90%,Expert-scored,Scored assessment,Yes,,,Parallel 1 of 3,Foundation,Apply/Understand,Students/Faculty,Academic,Skill,Application,High,Pending,Make 103: Introduction to 3D Printing,1.0,Academic Skills,Apply 3D printing techniques for prototyping and fabrication,Workshop
B016,Make 242: Introduction to Woodshop,Makerspace,Achievement,Online 90% + practical,Expert-scored,Dual modality,Yes,,,Standalone,Foundation,Apply,Students/Faculty,Academic,Skill,Application,High,Pending,Make 242: Introduction to the Woodshop,0.943,Academic Skills,Use woodshop tools safely for fabrication projects,Workshop
B017,MakerSpeak: Iterate to Innovate,Makerspace,Achievement,Attendance,None,None,No,,,Standalone,None,Remember/Understand,Students/Engineers,Academic,Souvenir,Souvenir,High,Pending,MakerSpeak: Iterate to Innovate,1.0,Academic Skills,Build hands-on prototyping and makerspace skills,Workshop
B018,Change Management Capstone,OSIL,Achievement,Team project presentation,Expert-scored,Project output,Yes,,,End of Pathway,Terminal,Apply/Synthesize,Students,Co-Curricular and Extra-Curricular,Achievement,Terminal,High,Pending,Change Management Capstone,1.0,Leadership,Apply change management strategies in practical scenarios,Hybrid
B019,Change Management — Foundational,OSIL,Achievement,Pre/post assessment,Auto-assessed,Assessment scores,No,,,1st of 3,Foundation,Understand/Apply,Students,Co-Curricular and Extra-Curricular,Achievement,Foundational,High,Pending,Change Management - Foundational,1.0,Leadership,Apply change management strategies in practical scenarios,Hybrid
B020,Strategic Thinking Capstone,OSIL,Achievement,Team project presentation,Expert-scored,Project output,Yes,,,End of Pathway,Terminal,Apply/Synthesize,Students,Co-Curricular and Extra-Curricular,Achievement,Terminal,High,Pending,Strategic Thinking - Capstone,1.0,Leadership,Strengthen strategic analysis and decision-making skills,Hybrid
B021,Change Management — Intermediate,OSIL,Achievement,Pre/post assessment,Auto-assessed,Assessment scores,No,,,2nd of 3,Milestone,Apply/Analyze,Students,Co-Curricular and Extra-Curricular,Achievement,Milestone,High,Pending,Change Management Intermediate,1.0,Leadership,Apply change management strategies in practical scenarios,Hybrid
B022,Entrepreneurial Experience Badge,OSIL,Competency,Real-world experience (OR),Expert-scored,Self-reported/verified,Yes,,,Standalone,Intermediate,Apply/Create,Students/Entrepreneurs,Co-Curricular and Extra-Curricular,Competency,Demonstrated,Medium,Pending,Entrepreneurial Experience Badge,1.0,Professional Development,Develop entrepreneurial thinking and practical business skills,Hybrid
B023,Workplace Readiness Capstone,OSIL,Achievement,Team project presentation,Expert-scored,Project output,Yes,,,End of Pathway,Terminal,Apply/Synthesize,Students,Co-Curricular and Extra-Curricular,Achievement,Terminal,High,Pending,Workplace Readiness - Capstone,1.0,Professional Development,Develop workplace skills that improve career preparedness,Hybrid
B024,Entrepreneurship Essentials Badge,OSIL,Certificate Of Completion,Quiz + attendance,Auto-assessed,Quiz completion,No,,,Standalone,Foundation,Remember/Understand,Students,Co-Curricular and Extra-Curricular,Achievement,Foundational,High,Pending,Entrepreneurship Essentials Badge,1.0,Professional Development,Develop entrepreneurial thinking and practical business skills,Hybrid
B025,NJIT/NYSCC Formulation Workshop,NCE,Achievement,Active participation + lab,Expert-scored,Observed/demonstrated,Yes,,,Standalone,Foundation,Understand/Apply,Engineering students,Academic,Skill,Awareness,High,Pending,NJIT/NYSCC Formulation Workshop,1.0,Academic Skills,Apply formulation and engineering concepts in lab settings,Workshop
B026,CPT Course,OGI,Achievement,Modules + quizzes,Auto-assessed,Handshake submission,No,,,Standalone — compliance gate,None,Understand,F-1 international students,Unknown — Open Q001,Achievement,Foundational,Low,Pending,CPT Course,1.0,Professional Development,Understand employment compliance requirements for international students,Self-paced
B027,AI Literacy Microcredential,LDI,Micro Credential,All 3 milestone badges,Auto-assessed,Platform-verified,No,,,End of Pathway,Terminal,Apply/Evaluate,Broad/Faculty,Faculty & Staff Development,Achievement,Terminal,High,Pending,AI Literacy,1.0,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid
B028,PM Healthcare Microcredential,LDI,Micro Credential,All 4 course badges,Auto-assessed,Platform-verified,No,MCHC.001.00,0.0,End of Pathway,Terminal,Apply/Evaluate,Healthcare professionals,Continuing & Professional Education,Achievement,Terminal,High,Pending,Project Management In Healthcare Microcredential,0.753,Professional Development,Apply project management concepts in healthcare contexts,Hybrid
B029,AI for Educators Microcredential,LDI,Micro Credential,All 3 course badges,Auto-assessed,Platform-verified,No,MCAI.002.00,0.0,End of Pathway,Terminal,Apply/Synthesize,Educators/Faculty,Faculty & Staff Development,Achievement,Terminal,High,Pending,AI for Educators,1.0,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid
